,Made Donation in March 2007
659,0.4202346267399476
276,0.11987043315555619
263,0.27853023607690536
303,0.31557247859146703
83,0.48528842349794105
500,0.7301463759721876
530,0.41891444208887885
244,0.11097037134615315
249,0.03779638713757566
728,0.0978286099917794
129,0.1659198301839057
534,0.16041422869951188
317,0.2783119209509581
401,0.27853023607690536
696,0.2537167278686425
192,0.1398777110411687
176,0.2283129320855122
571,0.4175093680694592
139,0.11551175203627398
423,0.2556873778446097
563,0.36940290076388094
56,0.2799398437418736
528,0.3423624558906713
101,0.27853023607690536
467,0.2182273916479209
382,0.31955841798307016
466,0.2815610076144737
294,0.11097037134615315
512,0.26626468600971737
659,0.4202346267399476
389,0.3342543401959674
487,0.06191242125713899
701,0.4354292662270512
419,0.24203011193132495
536,0.17112684791028596
240,0.2430653566689155
508,0.19091598345794303
515,0.11097037134615315
283,0.3098809459190502
650,0.27853023607690536
65,0.4517410575359954
228,0.14851240369795135
741,0.09176846261632624
297,0.3141056196242676
464,0.12047329921420488
63,0.4354292662270512
231,0.3307420959535497
28,0.11495773577282695
248,0.11097037134615315
357,0.1642469144500074
300,0.4589459040377608
726,0.6006158291899765
680,0.15690982832481568
520,0.26657577073619687
254,0.056432377282972734
582,0.19578976332411208
143,0.22956293638227246
98,0.4414934403412699
1,0.2503527114121472
221,0.4602689120815389
352,0.27853023607690536
64,0.1176298773232398
138,0.2832617300849922
745,0.3669259807771907
64,0.1176298773232398
688,0.09774771326132338
623,0.13045284738009794
289,0.21185573594116136
174,0.3057875959860928
690,0.27853023607690536
105,0.17434844464419375
427,0.14003547473545164
48,0.0187718716237658
14,0.27853023607690536
657,0.06272495767159715
301,0.1574464622272422
455,0.12525204107083446
579,0.2849341572526949
722,0.11896316934625202
98,0.4414934403412699
491,0.0187718716237658
303,0.31557247859146703
466,0.2815610076144737
65,0.4517410575359954
300,0.4589459040377608
9,0.06592216097606052
622,0.1398777110411687
323,0.0989413772861552
289,0.21185573594116136
568,0.2798321982623021
290,0.27853023607690536
156,0.15709451950541417
464,0.12047329921420488
426,0.11590303092481632
306,0.23972420369915556
4,0.2966655285209822
12,0.3019088440964741
187,0.26532064611763784
406,0.08593640343189209
96,0.41891444208887885
509,0.4354292662270512
733,0.15093476464041922
548,0.07525432073652513
478,0.21620312997540467
501,0.154748760858985
127,0.40614678950737343
199,0.23809911563904815
299,0.37300991452798415
162,0.27853023607690536
235,0.12469989955875603
23,0.17303932449425108
473,0.27853023607690536
487,0.06191242125713899
683,0.38130082697924156
303,0.31557247859146703
309,0.058021692318805634
569,0.05688196849857688
34,0.34471478053989696
686,0.5945373436628614
84,0.22613331055294572
733,0.15093476464041922
537,0.43600588835551
181,0.15665593522207974
453,0.7327048295643521
67,0.3619914415703109
161,0.4298967217033997
307,0.2471551785999446
703,0.17684091079056413
181,0.15665593522207974
246,0.13647952869760147
316,0.29989650907019855
278,0.1398777110411687
346,0.19049864995609894
545,0.27853023607690536
419,0.24203011193132495
694,0.41891444208887885
622,0.1398777110411687
663,0.09629605900666202
262,0.5709817897160999
461,0.29078344603058387
373,0.8492687108505518
233,0.27853023607690536
466,0.2815610076144737
207,0.22956293638227246
263,0.27853023607690536
16,0.05688196849857688
513,0.06646901992201958
449,0.25842336364213464
429,0.051195351190542325
701,0.4354292662270512
632,0.06219891412086819
529,0.5105449543896146
245,0.2817990899546838
344,0.13832725908837204
353,0.12994852617035288
241,0.32288404350017924
633,0.09548654896315457
624,0.4354292662270512
726,0.6006158291899765
189,0.1398777110411687
138,0.2832617300849922
402,0.11097037134615315
511,0.3400637386449398
590,0.4879908852741523
334,0.1940424664992334
447,0.08789949334529613
119,0.2815610076144737
389,0.3342543401959674
644,0.27853023607690536
423,0.2556873778446097
131,0.05688196849857688
405,0.016183818821970303
82,0.27853023607690536
643,0.8899511752516036
156,0.15709451950541417
617,0.07275249471112796
574,0.37473863434444615
272,0.2970511437782804
613,0.10455741543907882
545,0.27853023607690536
685,0.11097037134615315
570,0.17920339262171123
537,0.43600588835551
691,0.09548654896315457
85,0.4332907865014904
483,0.13647952869760147
455,0.12525204107083446
93,0.1398777110411687
744,0.4354292662270512
33,0.13647952869760147
321,0.678859130262529
523,0.2015267491695781
426,0.11590303092481632
196,0.1076904337725525
301,0.1574464622272422
103,0.09548654896315457
224,0.07589983627804525
454,0.10648696796055651
585,0.06279080970551833
154,0.3205348361257858
