,Made Donation in March 2007
659,0.485358389101436
276,0.030576593317459454
263,0.23772766420666433
303,0.2120981102018974
83,0.4966941015581746
500,0.7997369689035194
530,0.28234219646478126
244,0.051555010858941645
249,0.004533610556939385
728,0.03473191390294581
129,0.07875786929800634
534,0.08515170531291336
317,0.25298951787126367
401,0.23772766420666433
696,0.24437369628117092
192,0.08320700025822556
176,0.1337848489738494
571,0.39377066117741405
139,0.024762276685232003
423,0.2623404566052814
563,0.40060623027770353
56,0.272823739137451
528,0.31063597356118394
101,0.23772766420666433
467,0.23076999679337448
382,0.30561061881756024
466,0.2981089241541174
294,0.051555010858941645
512,0.2507023082988403
659,0.485358389101436
389,0.33869553200149816
487,0.009480887275988198
701,0.32220605301257793
419,0.22406685537397317
536,0.15229175269268358
240,0.14586417552387604
508,0.19567916179672107
515,0.051555010858941645
283,0.30019862891773774
650,0.23772766420666433
65,0.34758843115785626
228,0.05734350490430722
741,0.02613170851910749
297,0.33972300983792864
464,0.052267271944221934
63,0.32220605301257793
231,0.2932827797773453
28,0.04881142670566104
248,0.051555010858941645
357,0.07428803108990104
300,0.5392500358927269
726,0.695905908086802
680,0.06998404041018058
520,0.25834579190975093
254,0.010511094255220238
582,0.11490615565811178
143,0.2186648680050241
98,0.34903885127140694
1,0.27038414715809256
221,0.5454076924586955
352,0.23772766420666433
64,0.06148775531362283
138,0.18826957958453924
745,0.4156965959699976
64,0.06148775531362283
688,0.03597151707388396
623,0.07016810841047025
289,0.0727625391307603
174,0.26238777995714435
690,0.23772766420666433
105,0.09980663049862092
427,0.05264258270802161
48,0.0009332569297585067
14,0.23772766420666433
657,0.011213084471064854
301,0.08243805457697842
455,0.05504585659053706
579,0.2720465493015586
722,0.043994564225975835
98,0.34903885127140694
491,0.0009332569297585067
303,0.2120981102018974
466,0.2981089241541174
65,0.34758843115785626
300,0.5392500358927269
9,0.01628628031521326
622,0.08320700025822556
323,0.03660235437858796
289,0.0727625391307603
568,0.30456949818731055
290,0.23772766420666433
156,0.12919443653182855
464,0.052267271944221934
426,0.04379872739049459
306,0.10818660871747682
4,0.1994193812697039
12,0.28739695781684405
187,0.1774708240534139
406,0.016699171871955208
96,0.28234219646478126
509,0.32220605301257793
733,0.07890342066234358
548,0.017446668985462748
478,0.16897040315288955
501,0.08904738445205332
127,0.3778211786518902
199,0.12332814157794222
299,0.42247097614153084
162,0.23772766420666433
235,0.04677064251659171
23,0.11690143492409054
473,0.23772766420666433
487,0.009480887275988198
683,0.37145131809251236
303,0.2120981102018974
309,0.01031195152897045
569,0.011660908767674968
34,0.3348847418490065
686,0.6304172829543229
84,0.2510127519579129
733,0.07890342066234358
537,0.41986355425290994
181,0.087949158274179
453,0.8750502185108212
67,0.40906226420905817
161,0.5068783530458998
307,0.2346874610663851
703,0.09789867349096137
181,0.087949158274179
246,0.060655328580554495
316,0.3065842600734376
278,0.08320700025822556
346,0.10575639261171692
545,0.23772766420666433
419,0.22406685537397317
694,0.28234219646478126
622,0.08320700025822556
663,0.038023014548848266
262,0.6201664461143104
461,0.293020640633517
373,0.9450494799293604
233,0.23772766420666433
466,0.2981089241541174
207,0.2186648680050241
263,0.23772766420666433
16,0.011660908767674968
513,0.012942364269168631
449,0.24954485038459864
429,0.008098320273499836
701,0.32220605301257793
632,0.013465343066720028
529,0.5173405969456308
245,0.17815882712807926
344,0.05253756228639676
353,0.04855074754659082
241,0.27630073591488996
633,0.03723508592871629
624,0.32220605301257793
726,0.695905908086802
189,0.08320700025822556
138,0.18826957958453924
402,0.051555010858941645
511,0.32185312552629286
590,0.30200952606182574
334,0.1899625432245149
447,0.028254772950151864
119,0.2981089241541174
389,0.33869553200149816
644,0.23772766420666433
423,0.2623404566052814
131,0.011660908767674968
405,0.0006658917540964558
82,0.23772766420666433
643,0.9711228360592402
156,0.12919443653182855
617,0.01655251987148884
574,0.3490990322777375
272,0.3040227231883071
613,0.048829523944571525
545,0.23772766420666433
685,0.051555010858941645
570,0.10318748807752487
537,0.41986355425290994
691,0.03723508592871629
85,0.48066840935336486
483,0.060655328580554495
455,0.05504585659053706
93,0.08320700025822556
744,0.32220605301257793
33,0.060655328580554495
321,0.7722825708694872
523,0.16893866490753795
426,0.04379872739049459
196,0.04648356366534915
301,0.08243805457697842
103,0.03723508592871629
224,0.018455306330684214
454,0.022940618722867928
585,0.012522550232206933
154,0.3241533565299849
