,Made Donation in March 2007
659,0.5142857142857142
276,0.5641025641025641
263,0.47368421052631576
303,0.5142857142857142
83,0.5142857142857142
500,0.5142857142857142
530,0.47368421052631576
244,0.058823529411764705
249,0.058823529411764705
728,0.15789473684210525
129,0.058823529411764705
534,0.11904761904761904
317,0.3
401,0.47368421052631576
696,0.5
192,0.125
176,0.5641025641025641
571,0.5142857142857142
139,0.5142857142857142
423,0.5
563,0.5641025641025641
56,0.5641025641025641
528,0.5641025641025641
101,0.47368421052631576
467,0.12222222222222222
382,0.5142857142857142
466,0.47368421052631576
294,0.058823529411764705
512,0.12222222222222222
659,0.5142857142857142
389,0.5142857142857142
487,0.11904761904761904
701,0.16129032258064516
419,0.5641025641025641
536,0.12222222222222222
240,0.5641025641025641
508,0.12222222222222222
515,0.058823529411764705
283,0.5641025641025641
650,0.47368421052631576
65,0.47368421052631576
228,0.5641025641025641
741,0.11904761904761904
297,0.5
464,0.058823529411764705
63,0.16129032258064516
231,0.5
28,0.058823529411764705
248,0.058823529411764705
357,0.5
300,0.5142857142857142
726,0.5142857142857142
680,0.5
520,0.5641025641025641
254,0.058823529411764705
582,0.5641025641025641
143,0.15
98,0.5
1,0.48
221,0.5142857142857142
352,0.47368421052631576
64,0.058823529411764705
138,0.5142857142857142
745,0.5142857142857142
64,0.058823529411764705
688,0.058823529411764705
623,0.15789473684210525
289,0.5142857142857142
174,0.5142857142857142
690,0.47368421052631576
105,0.5
427,0.5
48,0.058823529411764705
14,0.47368421052631576
657,0.15789473684210525
301,0.11904761904761904
455,0.058823529411764705
579,0.3
722,0.5
98,0.5
491,0.058823529411764705
303,0.5142857142857142
466,0.47368421052631576
65,0.47368421052631576
300,0.5142857142857142
9,0.058823529411764705
622,0.125
323,0.058823529411764705
289,0.5142857142857142
568,0.5
290,0.47368421052631576
156,0.12222222222222222
464,0.058823529411764705
426,0.058823529411764705
306,0.5142857142857142
4,0.5142857142857142
12,0.5
187,0.5142857142857142
406,0.5641025641025641
96,0.47368421052631576
509,0.16129032258064516
733,0.11904761904761904
548,0.058823529411764705
478,0.5
501,0.058823529411764705
127,0.5
199,0.5142857142857142
299,0.5142857142857142
162,0.47368421052631576
235,0.058823529411764705
23,0.058823529411764705
473,0.47368421052631576
487,0.11904761904761904
683,0.5641025641025641
303,0.5142857142857142
309,0.058823529411764705
569,0.058823529411764705
34,0.5641025641025641
686,0.5142857142857142
84,0.12222222222222222
733,0.11904761904761904
537,0.5142857142857142
181,0.15789473684210525
453,0.5142857142857142
67,0.5142857142857142
161,0.5142857142857142
307,0.5641025641025641
703,0.47368421052631576
181,0.15789473684210525
246,0.058823529411764705
316,0.5
278,0.125
346,0.058823529411764705
545,0.47368421052631576
419,0.5641025641025641
694,0.47368421052631576
622,0.125
663,0.058823529411764705
262,0.5142857142857142
461,0.3
373,0.5142857142857142
233,0.47368421052631576
466,0.47368421052631576
207,0.15
263,0.47368421052631576
16,0.058823529411764705
513,0.058823529411764705
449,0.5
429,0.058823529411764705
701,0.16129032258064516
632,0.058823529411764705
529,0.5142857142857142
245,0.5142857142857142
344,0.5641025641025641
353,0.058823529411764705
241,0.5142857142857142
633,0.058823529411764705
624,0.16129032258064516
726,0.5142857142857142
189,0.125
138,0.5142857142857142
402,0.058823529411764705
511,0.5641025641025641
590,0.5142857142857142
334,0.12222222222222222
447,0.058823529411764705
119,0.47368421052631576
389,0.5142857142857142
644,0.47368421052631576
423,0.5
131,0.058823529411764705
405,0.058823529411764705
82,0.47368421052631576
643,0.5142857142857142
156,0.12222222222222222
617,0.058823529411764705
574,0.47368421052631576
272,0.3
613,0.058823529411764705
545,0.47368421052631576
685,0.058823529411764705
570,0.5
537,0.5142857142857142
691,0.058823529411764705
85,0.5142857142857142
483,0.058823529411764705
455,0.058823529411764705
93,0.125
744,0.16129032258064516
33,0.058823529411764705
321,0.5142857142857142
523,0.12222222222222222
426,0.058823529411764705
196,0.058823529411764705
301,0.11904761904761904
103,0.058823529411764705
224,0.058823529411764705
454,0.5641025641025641
585,0.058823529411764705
154,0.5142857142857142
